100
0,8,3
1,1,5
2,1,7
3,4,3
4,9,8
5,7,2
6,9,3
7,7,7
8,3,9
9,4,9
10,5,3
11,7,1
12,7,4
13,4,5
14,3,4
15,1,2
16,6,1
17,7,6
18,8,1
19,8,7
20,8,6
21,9,8
22,8,6
23,5,2
24,6,8
25,1,1
26,2,8
27,1,8
28,3,4
29,4,6
30,8,4
31,7,4
32,5,4
33,1,3
34,5,9
35,1,4
36,5,9
37,2,4
38,5,7
39,5,2
40,6,6
41,2,7
42,4,2
43,6,7
44,6,9
45,3,4
46,3,1
47,8,8
48,5,9
49,1,9
50,9,2
51,4,4
52,1,6
53,7,6
54,3,2
55,7,8
56,7,8
57,6,2
58,1,2
59,9,7
60,1,2
61,1,4
62,2,9
63,2,7
64,8,3
65,7,7
66,4,1
67,2,4
68,7,9
69,1,9
70,2,7
71,8,9
72,6,4
73,2,7
74,5,1
75,4,6
76,3,4
77,9,5
78,4,1
79,2,3
80,4,8
81,1,7
82,8,3
83,2,5
84,2,2
85,5,4
86,9,4
87,4,6
88,7,5
89,3,3
90,6,6
91,8,8
92,1,7
93,3,4
94,8,5
95,7,2
96,3,7
97,9,2
98,9,1
99,7,2
